"SR_NO","TYPE","REGION","PROVINCE","MUNICIPALITY","TOTALLY DAMAGED","PARTIALLY DAMAGED","OVERALL TOTAL"
"SITREP NO. 40","TYPHOON","VI","ILOILO","IGBARAS","13","204","217"
"SITREP NO. 40","TYPHOON","VI","ILOILO","ILOILO CITY","63","132","195"
"SITREP NO. 40","TYPHOON","VI","ILOILO","JANIUAY","587","3046","3633"
"SITREP NO. 40","TYPHOON","VI","ILOILO","LAMBUNAO","1361","4576","5937"
"SITREP NO. 40","TYPHOON","VI","ILOILO","LAGANES","46","394","440"
"SITREP NO. 40","TYPHOON","VI","ILOILO","LEMERY","4385","1983","6368"
"SITREP NO. 40","TYPHOON","VI","ILOILO","LEON","25","111","136"
"SITREP NO. 40","TYPHOON","VI","ILOILO","MAASIN","58","347","405"
"SITREP NO. 40","TYPHOON","VI","ILOILO","MIAGAO","0","1308","1308"
"SITREP NO. 40","TYPHOON","VI","ILOILO","MINA","24","422","446"
"SITREP NO. 40","TYPHOON","VI","ILOILO","NEW LUCENA","7","355","362"
"SITREP NO. 40","TYPHOON","VI","ILOILO","PAVIA","10","1123","1133"
"SITREP NO. 40","TYPHOON","VI","ILOILO","POTOTAN","228","2928","3156"
"SITREP NO. 40","TYPHOON","VI","ILOILO","SAN DIONISIO","6361","1313","7674"
"SITREP NO. 40","TYPHOON","VI","ILOILO","SAN ENRIQUE","3078","2393","5471"
"SITREP NO. 40","TYPHOON","VI","ILOILO","SAN JOAQUIN","15","52","67"
"SITREP NO. 40","TYPHOON","VI","ILOILO","SAN MIGUEL","7","449","456"
"SITREP NO. 40","TYPHOON","VI","ILOILO","SAN RAFAEL","2793","307","3100"
"SITREP NO. 40","TYPHOON","VI","ILOILO","SARA","10440","1160","11600"
"SITREP NO. 40","TYPHOON","VI","ILOILO","STA. BARBARA","0","3","3"
"SITREP NO. 40","TYPHOON","VI","ILOILO","TIGBAUAN","6","88","94"
"SITREP NO. 40","TYPHOON","VI","ILOILO","TUBUNGAN","21","288","309"
"SITREP NO. 40","TYPHOON","VI","ILOILO","PASSI CITY","4136","5249","9385"
"SITREP NO. 40","TYPHOON","VI","ILOILO","ZARRAGA","73","0","73"
"SITREP NO. 40","TYPHOON","VI","NEGROS OCCIDENTAL","BINALBAGAN","5","22","27"
"SITREP NO. 40","TYPHOON","VI","NEGROS OCCIDENTAL","CALATRAVA","388","440","828"
"SITREP NO. 40","TYPHOON","VI","NEGROS OCCIDENTAL","CAUAYAN","45","81","126"
"SITREP NO. 40","TYPHOON","VI","NEGROS OCCIDENTAL","E.B. MAGALONA","250","2120","2370"
"SITREP NO. 40","TYPHOON","VI","NEGROS OCCIDENTAL","HINIGARAN","21","121","142"
"SITREP NO. 40","TYPHOON","VI","NEGROS OCCIDENTAL","HINOBA-AN","0","2","2"
"SITREP NO. 40","TYPHOON","VI","NEGROS OCCIDENTAL","ILOG","37","87","124"
"SITREP NO. 40","TYPHOON","VI","NEGROS OCCIDENTAL","LA CASTELLANA","9","7","16"
"SITREP NO. 40","TYPHOON","VI","NEGROS OCCIDENTAL","MANAPLA","1264","4008","5272"
"SITREP NO. 40","TYPHOON","VI","NEGROS OCCIDENTAL","MURCIA","26","98","124"
"SITREP NO. 40","TYPHOON","VI","NEGROS OCCIDENTAL","PONTEVEDRA","19","94","113"
"SITREP NO. 40","TYPHOON","VI","NEGROS OCCIDENTAL","PULUPANDAN","5","169","174"
"SITREP NO. 40","TYPHOON","VI","NEGROS OCCIDENTAL","SALVADOR BENEDICTO","13","121","134"
